id,mot,skill,knowl,auto,att,risk,affil,obj
47,economic,low,low,manual,opportunistic,high,state,availability
48,economic,low,low,manual,persistent,low,individual,ICS
49,economic,low,low,manual,persistent,low,individual,credentials
50,economic,low,low,manual,persistent,low,individual,data
51,economic,low,low,manual,persistent,low,individual,availability
52,economic,low,low,manual,persistent,low,crime,ICS
53,economic,low,low,manual,persistent,low,crime,credentials
54,economic,low,low,manual,persistent,low,crime,data
55,economic,low,low,manual,persistent,low,crime,availability
56,economic,low,low,manual,persistent,low,insider,ICS
57,economic,low,low,manual,persistent,low,insider,credentials
58,economic,low,low,manual,persistent,low,insider,data
59,economic,low,low,manual,persistent,low,insider,availability
60,economic,low,low,manual,persistent,low,state,ICS
61,economic,low,low,manual,persistent,low,state,credentials
62,economic,low,low,manual,persistent,low,state,data
63,economic,low,low,manual,persistent,low,state,availability
64,economic,low,low,manual,persistent,medium,individual,ICS
65,economic,low,low,manual,persistent,medium,individual,credentials
66,economic,low,low,manual,persistent,medium,individual,data
67,economic,low,low,manual,persistent,medium,individual,availability
68,economic,low,low,manual,persistent,medium,crime,ICS
69,economic,low,low,manual,persistent,medium,crime,credentials
70,economic,low,low,manual,persistent,medium,crime,data
71,economic,low,low,manual,persistent,medium,crime,availability
72,economic,low,low,manual,persistent,medium,insider,ICS
73,economic,low,low,manual,persistent,medium,insider,credentials
74,economic,low,low,manual,persistent,medium,insider,data
75,economic,low,low,manual,persistent,medium,insider,availability
76,economic,low,low,manual,persistent,medium,state,ICS
77,economic,low,low,manual,persistent,medium,state,credentials
78,economic,low,low,manual,persistent,medium,state,data
79,economic,low,low,manual,persistent,medium,state,availability
80,economic,low,low,manual,persistent,high,individual,ICS
81,economic,low,low,manual,persistent,high,individual,credentials
82,economic,low,low,manual,persistent,high,individual,data
83,economic,low,low,manual,persistent,high,individual,availability
84,economic,low,low,manual,persistent,high,crime,ICS
85,economic,low,low,manual,persistent,high,crime,credentials
86,economic,low,low,manual,persistent,high,crime,data
87,economic,low,low,manual,persistent,high,crime,availability
88,economic,low,low,manual,persistent,high,insider,ICS
89,economic,low,low,manual,persistent,high,insider,credentials
90,economic,low,low,manual,persistent,high,insider,data
91,economic,low,low,manual,persistent,high,insider,availability
92,economic,low,low,manual,persistent,high,state,ICS
93,economic,low,low,manual,persistent,high,state,credentials
94,economic,low,low,manual,persistent,high,state,data
95,economic,low,low,manual,persistent,high,state,availability
96,economic,low,low,manual,targeted,low,individual,ICS
97,economic,low,low,manual,targeted,low,individual,credentials
98,economic,low,low,manual,targeted,low,individual,data
99,economic,low,low,manual,targeted,low,individual,availability
100,economic,low,low,manual,targeted,low,crime,ICS
101,economic,low,low,manual,targeted,low,crime,credentials
102,economic,low,low,manual,targeted,low,crime,data
103,economic,low,low,manual,targeted,low,crime,availability
104,economic,low,low,manual,targeted,low,insider,ICS
105,economic,low,low,manual,targeted,low,insider,credentials
106,economic,low,low,manual,targeted,low,insider,data
107,economic,low,low,manual,targeted,low,insider,availability
108,economic,low,low,manual,targeted,low,state,ICS
109,economic,low,low,manual,targeted,low,state,credentials
110,economic,low,low,manual,targeted,low,state,data
111,economic,low,low,manual,targeted,low,state,availability
112,economic,low,low,manual,targeted,medium,individual,ICS
113,economic,low,low,manual,targeted,medium,individual,credentials
114,economic,low,low,manual,targeted,medium,individual,data
115,economic,low,low,manual,targeted,medium,individual,availability
116,economic,low,low,manual,targeted,medium,crime,ICS
117,economic,low,low,manual,targeted,medium,crime,credentials
118,economic,low,low,manual,targeted,medium,crime,data
119,economic,low,low,manual,targeted,medium,crime,availability
120,economic,low,low,manual,targeted,medium,insider,ICS
121,economic,low,low,manual,targeted,medium,insider,credentials
122,economic,low,low,manual,targeted,medium,insider,data
123,economic,low,low,manual,targeted,medium,insider,availability
124,economic,low,low,manual,targeted,medium,state,ICS
125,economic,low,low,manual,targeted,medium,state,credentials
126,economic,low,low,manual,targeted,medium,state,data
127,economic,low,low,manual,targeted,medium,state,availability
128,economic,low,low,manual,targeted,high,individual,ICS
129,economic,low,low,manual,targeted,high,individual,credentials
130,economic,low,low,manual,targeted,high,individual,data
131,economic,low,low,manual,targeted,high,individual,availability
132,economic,low,low,manual,targeted,high,crime,ICS
133,economic,low,low,manual,targeted,high,crime,credentials
134,economic,low,low,manual,targeted,high,crime,data
135,economic,low,low,manual,targeted,high,crime,availability
136,economic,low,low,manual,targeted,high,insider,ICS
137,economic,low,low,manual,targeted,high,insider,credentials
138,economic,low,low,manual,targeted,high,insider,data
139,economic,low,low,manual,targeted,high,insider,availability
140,economic,low,low,manual,targeted,high,state,ICS
141,economic,low,low,manual,targeted,high,state,credentials
142,economic,low,low,manual,targeted,high,state,data
143,economic,low,low,manual,targeted,high,state,availability
144,economic,low,low,manual,destructive,low,individual,ICS
145,economic,low,low,manual,destructive,low,individual,credentials
146,economic,low,low,manual,destructive,low,individual,data
147,economic,low,low,manual,destructive,low,individual,availability
148,economic,low,low,manual,destructive,low,crime,ICS
149,economic,low,low,manual,destructive,low,crime,credentials
150,economic,low,low,manual,destructive,low,crime,data
151,economic,low,low,manual,destructive,low,crime,availability
152,economic,low,low,manual,destructive,low,insider,ICS
153,economic,low,low,manual,destructive,low,insider,credentials
154,economic,low,low,manual,destructive,low,insider,data
155,economic,low,low,manual,destructive,low,insider,availability
156,economic,low,low,manual,destructive,low,state,ICS
157,economic,low,low,manual,destructive,low,state,credentials
158,economic,low,low,manual,destructive,low,state,data
159,economic,low,low,manual,destructive,low,state,availability
160,economic,low,low,manual,destructive,medium,individual,ICS
161,economic,low,low,manual,destructive,medium,individual,credentials
162,economic,low,low,manual,destructive,medium,individual,data
163,economic,low,low,manual,destructive,medium,individual,availability
164,economic,low,low,manual,destructive,medium,crime,ICS
165,economic,low,low,manual,destructive,medium,crime,credentials
166,economic,low,low,manual,destructive,medium,crime,data
167,economic,low,low,manual,destructive,medium,crime,availability
168,economic,low,low,manual,destructive,medium,insider,ICS
169,economic,low,low,manual,destructive,medium,insider,credentials
170,economic,low,low,manual,destructive,medium,insider,data
171,economic,low,low,manual,destructive,medium,insider,availability
172,economic,low,low,manual,destructive,medium,state,ICS
173,economic,low,low,manual,destructive,medium,state,credentials
174,economic,low,low,manual,destructive,medium,state,data
175,economic,low,low,manual,destructive,medium,state,availability
176,economic,low,low,manual,destructive,high,individual,ICS
177,economic,low,low,manual,destructive,high,individual,credentials
178,economic,low,low,manual,destructive,high,individual,data
179,economic,low,low,manual,destructive,high,individual,availability
180,economic,low,low,manual,destructive,high,crime,ICS
181,economic,low,low,manual,destructive,high,crime,credentials
182,economic,low,low,manual,destructive,high,crime,data
183,economic,low,low,manual,destructive,high,crime,availability
184,economic,low,low,manual,destructive,high,insider,ICS
185,economic,low,low,manual,destructive,high,insider,credentials
186,economic,low,low,manual,destructive,high,insider,data
187,economic,low,low,manual,destructive,high,insider,availability
188,economic,low,low,manual,destructive,high,state,ICS
189,economic,low,low,manual,destructive,high,state,credentials
190,economic,low,low,manual,destructive,high,state,data
191,economic,low,low,manual,destructive,high,state,availability
192,economic,low,low,hybrid,opportunistic,low,individual,ICS
193,economic,low,low,hybrid,opportunistic,low,individual,credentials
194,economic,low,low,hybrid,opportunistic,low,individual,data
195,economic,low,low,hybrid,opportunistic,low,individual,availability
196,economic,low,low,hybrid,opportunistic,low,crime,ICS
197,economic,low,low,hybrid,opportunistic,low,crime,credentials
198,economic,low,low,hybrid,opportunistic,low,crime,data
199,economic,low,low,hybrid,opportunistic,low,crime,availability
200,economic,low,low,hybrid,opportunistic,low,insider,ICS
201,economic,low,low,hybrid,opportunistic,low,insider,credentials
202,economic,low,low,hybrid,opportunistic,low,insider,data
203,economic,low,low,hybrid,opportunistic,low,insider,availability
204,economic,low,low,hybrid,opportunistic,low,state,ICS
205,economic,low,low,hybrid,opportunistic,low,state,credentials
206,economic,low,low,hybrid,opportunistic,low,state,data
207,economic,low,low,hybrid,opportunistic,low,state,availability
208,economic,low,low,hybrid,opportunistic,medium,individual,ICS
209,economic,low,low,hybrid,opportunistic,medium,individual,credentials
210,economic,low,low,hybrid,opportunistic,medium,individual,data
211,economic,low,low,hybrid,opportunistic,medium,individual,availability
212,economic,low,low,hybrid,opportunistic,medium,crime,ICS
213,economic,low,low,hybrid,opportunistic,medium,crime,credentials
214,economic,low,low,hybrid,opportunistic,medium,crime,data
215,economic,low,low,hybrid,opportunistic,medium,crime,availability
216,economic,low,low,hybrid,opportunistic,medium,insider,ICS
217,economic,low,low,hybrid,opportunistic,medium,insider,credentials
218,economic,low,low,hybrid,opportunistic,medium,insider,data
219,economic,low,low,hybrid,opportunistic,medium,insider,availability
220,economic,low,low,hybrid,opportunistic,medium,state,ICS
221,economic,low,low,hybrid,opportunistic,medium,state,credentials
222,economic,low,low,hybrid,opportunistic,medium,state,data
223,economic,low,low,hybrid,opportunistic,medium,state,availability
224,economic,low,low,hybrid,opportunistic,high,individual,ICS
225,economic,low,low,hybrid,opportunistic,high,individual,credentials
226,economic,low,low,hybrid,opportunistic,high,individual,data
227,economic,low,low,hybrid,opportunistic,high,individual,availability
228,economic,low,low,hybrid,opportunistic,high,crime,ICS
229,economic,low,low,hybrid,opportunistic,high,crime,credentials
230,economic,low,low,hybrid,opportunistic,high,crime,data
231,economic,low,low,hybrid,opportunistic,high,crime,availability
232,economic,low,low,hybrid,opportunistic,high,insider,ICS
233,economic,low,low,hybrid,opportunistic,high,insider,credentials
234,economic,low,low,hybrid,opportunistic,high,insider,data
235,economic,low,low,hybrid,opportunistic,high,insider,availability
236,economic,low,low,hybrid,opportunistic,high,state,ICS
237,economic,low,low,hybrid,opportunistic,high,state,credentials
238,economic,low,low,hybrid,opportunistic,high,state,data
239,economic,low,low,hybrid,opportunistic,high,state,availability
240,economic,low,low,hybrid,persistent,low,individual,ICS
241,economic,low,low,hybrid,persistent,low,individual,credentials
242,economic,low,low,hybrid,persistent,low,individual,data
243,economic,low,low,hybrid,persistent,low,individual,availability
244,economic,low,low,hybrid,persistent,low,crime,ICS
245,economic,low,low,hybrid,persistent,low,crime,credentials
246,economic,low,low,hybrid,persistent,low,crime,data
247,economic,low,low,hybrid,persistent,low,crime,availability
248,economic,low,low,hybrid,persistent,low,insider,ICS
249,economic,low,low,hybrid,persistent,low,insider,credentials
250,economic,low,low,hybrid,persistent,low,insider,data
251,economic,low,low,hybrid,persistent,low,insider,availability
252,economic,low,low,hybrid,persistent,low,state,ICS
253,economic,low,low,hybrid,persistent,low,state,credentials
254,economic,low,low,hybrid,persistent,low,state,data
255,economic,low,low,hybrid,persistent,low,state,availability
256,economic,low,low,hybrid,persistent,medium,individual,ICS
257,economic,low,low,hybrid,persistent,medium,individual,credentials
258,economic,low,low,hybrid,persistent,medium,individual,data
259,economic,low,low,hybrid,persistent,medium,individual,availability
260,economic,low,low,hybrid,persistent,medium,crime,ICS
261,economic,low,low,hybrid,persistent,medium,crime,credentials
262,economic,low,low,hybrid,persistent,medium,crime,data
263,economic,low,low,hybrid,persistent,medium,crime,availability
264,economic,low,low,hybrid,persistent,medium,insider,ICS
265,economic,low,low,hybrid,persistent,medium,insider,credentials
266,economic,low,low,hybrid,persistent,medium,insider,data
267,economic,low,low,hybrid,persistent,medium,insider,availability
268,economic,low,low,hybrid,persistent,medium,state,ICS
269,economic,low,low,hybrid,persistent,medium,state,credentials
270,economic,low,low,hybrid,persistent,medium,state,data
271,economic,low,low,hybrid,persistent,medium,state,availability
272,economic,low,low,hybrid,persistent,high,individual,ICS
273,economic,low,low,hybrid,persistent,high,individual,credentials
274,economic,low,low,hybrid,persistent,high,individual,data
275,economic,low,low,hybrid,persistent,high,individual,availability
276,economic,low,low,hybrid,persistent,high,crime,ICS
277,economic,low,low,hybrid,persistent,high,crime,credentials
278,economic,low,low,hybrid,persistent,high,crime,data
279,economic,low,low,hybrid,persistent,high,crime,availability
280,economic,low,low,hybrid,persistent,high,insider,ICS
281,economic,low,low,hybrid,persistent,high,insider,credentials
282,economic,low,low,hybrid,persistent,high,insider,data
283,economic,low,low,hybrid,persistent,high,insider,availability
284,economic,low,low,hybrid,persistent,high,state,ICS
285,economic,low,low,hybrid,persistent,high,state,credentials
286,economic,low,low,hybrid,persistent,high,state,data
287,economic,low,low,hybrid,persistent,high,state,availability
288,economic,low,low,hybrid,targeted,low,individual,ICS
289,economic,low,low,hybrid,targeted,low,individual,credentials
290,economic,low,low,hybrid,targeted,low,individual,data
291,economic,low,low,hybrid,targeted,low,individual,availability
292,economic,low,low,hybrid,targeted,low,crime,ICS
293,economic,low,low,hybrid,targeted,low,crime,credentials
294,economic,low,low,hybrid,targeted,low,crime,data
295,economic,low,low,hybrid,targeted,low,crime,availability
296,economic,low,low,hybrid,targeted,low,insider,ICS
297,economic,low,low,hybrid,targeted,low,insider,credentials
298,economic,low,low,hybrid,targeted,low,insider,data
299,economic,low,low,hybrid,targeted,low,insider,availability
300,economic,low,low,hybrid,targeted,low,state,ICS
301,economic,low,low,hybrid,targeted,low,state,credentials
302,economic,low,low,hybrid,targeted,low,state,data
303,economic,low,low,hybrid,targeted,low,state,availability
304,economic,low,low,hybrid,targeted,medium,individual,ICS
305,economic,low,low,hybrid,targeted,medium,individual,credentials
306,economic,low,low,hybrid,targeted,medium,individual,data
307,economic,low,low,hybrid,targeted,medium,individual,availability
308,economic,low,low,hybrid,targeted,medium,crime,ICS
309,economic,low,low,hybrid,targeted,medium,crime,credentials
310,economic,low,low,hybrid,targeted,medium,crime,data
311,economic,low,low,hybrid,targeted,medium,crime,availability
312,economic,low,low,hybrid,targeted,medium,insider,ICS
313,economic,low,low,hybrid,targeted,medium,insider,credentials
314,economic,low,low,hybrid,targeted,medium,insider,data
315,economic,low,low,hybrid,targeted,medium,insider,availability
316,economic,low,low,hybrid,targeted,medium,state,ICS
317,economic,low,low,hybrid,targeted,medium,state,credentials
318,economic,low,low,hybrid,targeted,medium,state,data
319,economic,low,low,hybrid,targeted,medium,state,availability
320,economic,low,low,hybrid,targeted,high,individual,ICS
321,economic,low,low,hybrid,targeted,high,individual,credentials
322,economic,low,low,hybrid,targeted,high,individual,data
323,economic,low,low,hybrid,targeted,high,individual,availability
324,economic,low,low,hybrid,targeted,high,crime,ICS
325,economic,low,low,hybrid,targeted,high,crime,credentials
326,economic,low,low,hybrid,targeted,high,crime,data
327,economic,low,low,hybrid,targeted,high,crime,availability
328,economic,low,low,hybrid,targeted,high,insider,ICS
329,economic,low,low,hybrid,targeted,high,insider,credentials
330,economic,low,low,hybrid,targeted,high,insider,data
331,economic,low,low,hybrid,targeted,high,insider,availability
332,economic,low,low,hybrid,targeted,high,state,ICS
333,economic,low,low,hybrid,targeted,high,state,credentials
334,economic,low,low,hybrid,targeted,high,state,data
335,economic,low,low,hybrid,targeted,high,state,availability
336,economic,low,low,hybrid,destructive,low,individual,ICS
337,economic,low,low,hybrid,destructive,low,individual,credentials
338,economic,low,low,hybrid,destructive,low,individual,data
339,economic,low,low,hybrid,destructive,low,individual,availability
340,economic,low,low,hybrid,destructive,low,crime,ICS
341,economic,low,low,hybrid,destructive,low,crime,credentials
342,economic,low,low,hybrid,destructive,low,crime,data
343,economic,low,low,hybrid,destructive,low,crime,availability
344,economic,low,low,hybrid,destructive,low,insider,ICS
345,economic,low,low,hybrid,destructive,low,insider,credentials
346,economic,low,low,hybrid,destructive,low,insider,data
347,economic,low,low,hybrid,destructive,low,insider,availability
348,economic,low,low,hybrid,destructive,low,state,ICS
349,economic,low,low,hybrid,destructive,low,state,credentials
350,economic,low,low,hybrid,destructive,low,state,data
351,economic,low,low,hybrid,destructive,low,state,availability
352,economic,low,low,hybrid,destructive,medium,individual,ICS
353,economic,low,low,hybrid,destructive,medium,individual,credentials
354,economic,low,low,hybrid,destructive,medium,individual,data
355,economic,low,low,hybrid,destructive,medium,individual,availability
356,economic,low,low,hybrid,destructive,medium,crime,ICS
357,economic,low,low,hybrid,destructive,medium,crime,credentials
358,economic,low,low,hybrid,destructive,medium,crime,data
359,economic,low,low,hybrid,destructive,medium,crime,availability
360,economic,low,low,hybrid,destructive,medium,insider,ICS
361,economic,low,low,hybrid,destructive,medium,insider,credentials
362,economic,low,low,hybrid,destructive,medium,insider,data
363,economic,low,low,hybrid,destructive,medium,insider,availability
364,economic,low,low,hybrid,destructive,medium,state,ICS
365,economic,low,low,hybrid,destructive,medium,state,credentials
366,economic,low,low,hybrid,destructive,medium,state,data
367,economic,low,low,hybrid,destructive,medium,state,availability
368,economic,low,low,hybrid,destructive,high,individual,ICS
369,economic,low,low,hybrid,destructive,high,individual,credentials
370,economic,low,low,hybrid,destructive,high,individual,data
371,economic,low,low,hybrid,destructive,high,individual,availability
372,economic,low,low,hybrid,destructive,high,crime,ICS
373,economic,low,low,hybrid,destructive,high,crime,credentials
374,economic,low,low,hybrid,destructive,high,crime,data
375,economic,low,low,hybrid,destructive,high,crime,availability
376,economic,low,low,hybrid,destructive,high,insider,ICS
377,economic,low,low,hybrid,destructive,high,insider,credentials
378,economic,low,low,hybrid,destructive,high,insider,data
379,economic,low,low,hybrid,destructive,high,insider,availability
380,economic,low,low,hybrid,destructive,high,state,ICS
381,economic,low,low,hybrid,destructive,high,state,credentials
382,economic,low,low,hybrid,destructive,high,state,data
383,economic,low,low,hybrid,destructive,high,state,availability
384,economic,low,low,auto,opportunistic,low,individual,ICS
385,economic,low,low,auto,opportunistic,low,individual,credentials
386,economic,low,low,auto,opportunistic,low,individual,data
387,economic,low,low,auto,opportunistic,low,individual,availability
388,economic,low,low,auto,opportunistic,low,crime,ICS
389,economic,low,low,auto,opportunistic,low,crime,credentials
390,economic,low,low,auto,opportunistic,low,crime,data
391,economic,low,low,auto,opportunistic,low,crime,availability
392,economic,low,low,auto,opportunistic,low,insider,ICS
393,economic,low,low,auto,opportunistic,low,insider,credentials
394,economic,low,low,auto,opportunistic,low,insider,data
395,economic,low,low,auto,opportunistic,low,insider,availability
396,economic,low,low,auto,opportunistic,low,state,ICS
397,economic,low,low,auto,opportunistic,low,state,credentials
398,economic,low,low,auto,opportunistic,low,state,data
399,economic,low,low,auto,opportunistic,low,state,availability
400,economic,low,low,auto,opportunistic,medium,individual,ICS
401,economic,low,low,auto,opportunistic,medium,individual,credentials
402,economic,low,low,auto,opportunistic,medium,individual,data
403,economic,low,low,auto,opportunistic,medium,individual,availability
404,economic,low,low,auto,opportunistic,medium,crime,ICS
405,economic,low,low,auto,opportunistic,medium,crime,credentials
406,economic,low,low,auto,opportunistic,medium,crime,data
407,economic,low,low,auto,opportunistic,medium,crime,availability
408,economic,low,low,auto,opportunistic,medium,insider,ICS
409,economic,low,low,auto,opportunistic,medium,insider,credentials
410,economic,low,low,auto,opportunistic,medium,insider,data
411,economic,low,low,auto,opportunistic,medium,insider,availability
412,economic,low,low,auto,opportunistic,medium,state,ICS
413,economic,low,low,auto,opportunistic,medium,state,credentials
414,economic,low,low,auto,opportunistic,medium,state,data
415,economic,low,low,auto,opportunistic,medium,state,availability
416,economic,low,low,auto,opportunistic,high,individual,ICS
417,economic,low,low,auto,opportunistic,high,individual,credentials
418,economic,low,low,auto,opportunistic,high,individual,data
419,economic,low,low,auto,opportunistic,high,individual,availability
420,economic,low,low,auto,opportunistic,high,crime,ICS
421,economic,low,low,auto,opportunistic,high,crime,credentials
422,economic,low,low,auto,opportunistic,high,crime,data
423,economic,low,low,auto,opportunistic,high,crime,availability
424,economic,low,low,auto,opportunistic,high,insider,ICS
425,economic,low,low,auto,opportunistic,high,insider,credentials
426,economic,low,low,auto,opportunistic,high,insider,data
427,economic,low,low,auto,opportunistic,high,insider,availability
428,economic,low,low,auto,opportunistic,high,state,ICS
429,economic,low,low,auto,opportunistic,high,state,credentials
430,economic,low,low,auto,opportunistic,high,state,data
431,economic,low,low,auto,opportunistic,high,state,availability
432,economic,low,low,auto,persistent,low,individual,ICS
433,economic,low,low,auto,persistent,low,individual,credentials
434,economic,low,low,auto,persistent,low,individual,data
435,economic,low,low,auto,persistent,low,individual,availability
436,economic,low,low,auto,persistent,low,crime,ICS
437,economic,low,low,auto,persistent,low,crime,credentials
438,economic,low,low,auto,persistent,low,crime,data
439,economic,low,low,auto,persistent,low,crime,availability
440,economic,low,low,auto,persistent,low,insider,ICS
441,economic,low,low,auto,persistent,low,insider,credentials
442,economic,low,low,auto,persistent,low,insider,data
443,economic,low,low,auto,persistent,low,insider,availability
444,economic,low,low,auto,persistent,low,state,ICS
445,economic,low,low,auto,persistent,low,state,credentials
446,economic,low,low,auto,persistent,low,state,data
447,economic,low,low,auto,persistent,low,state,availability
448,economic,low,low,auto,persistent,medium,individual,ICS
449,economic,low,low,auto,persistent,medium,individual,credentials
450,economic,low,low,auto,persistent,medium,individual,data
451,economic,low,low,auto,persistent,medium,individual,availability
452,economic,low,low,auto,persistent,medium,crime,ICS
453,economic,low,low,auto,persistent,medium,crime,credentials
454,economic,low,low,auto,persistent,medium,crime,data
455,economic,low,low,auto,persistent,medium,crime,availability
456,economic,low,low,auto,persistent,medium,insider,ICS
457,economic,low,low,auto,persistent,medium,insider,credentials
458,economic,low,low,auto,persistent,medium,insider,data
459,economic,low,low,auto,persistent,medium,insider,availability
460,economic,low,low,auto,persistent,medium,state,ICS
461,economic,low,low,auto,persistent,medium,state,credentials
462,economic,low,low,auto,persistent,medium,state,data
463,economic,low,low,auto,persistent,medium,state,availability
464,economic,low,low,auto,persistent,high,individual,ICS
465,economic,low,low,auto,persistent,high,individual,credentials
466,economic,low,low,auto,persistent,high,individual,data
467,economic,low,low,auto,persistent,high,individual,availability
468,economic,low,low,auto,persistent,high,crime,ICS
469,economic,low,low,auto,persistent,high,crime,credentials
470,economic,low,low,auto,persistent,high,crime,data
471,economic,low,low,auto,persistent,high,crime,availability
472,economic,low,low,auto,persistent,high,insider,ICS
473,economic,low,low,auto,persistent,high,insider,credentials
474,economic,low,low,auto,persistent,high,insider,data
475,economic,low,low,auto,persistent,high,insider,availability
476,economic,low,low,auto,persistent,high,state,ICS
477,economic,low,low,auto,persistent,high,state,credentials
478,economic,low,low,auto,persistent,high,state,data
479,economic,low,low,auto,persistent,high,state,availability
480,economic,low,low,auto,targeted,low,individual,ICS
481,economic,low,low,auto,targeted,low,individual,credentials
482,economic,low,low,auto,targeted,low,individual,data
483,economic,low,low,auto,targeted,low,individual,availability
484,economic,low,low,auto,targeted,low,crime,ICS
485,economic,low,low,auto,targeted,low,crime,credentials
486,economic,low,low,auto,targeted,low,crime,data
487,economic,low,low,auto,targeted,low,crime,availability
488,economic,low,low,auto,targeted,low,insider,ICS
489,economic,low,low,auto,targeted,low,insider,credentials
490,economic,low,low,auto,targeted,low,insider,data
491,economic,low,low,auto,targeted,low,insider,availability
492,economic,low,low,auto,targeted,low,state,ICS
493,economic,low,low,auto,targeted,low,state,credentials
494,economic,low,low,auto,targeted,low,state,data
495,economic,low,low,auto,targeted,low,state,availability
496,economic,low,low,auto,targeted,medium,individual,ICS
497,economic,low,low,auto,targeted,medium,individual,credentials
498,economic,low,low,auto,targeted,medium,individual,data
499,economic,low,low,auto,targeted,medium,individual,availability
500,economic,low,low,auto,targeted,medium,crime,ICS
501,economic,low,low,auto,targeted,medium,crime,credentials
502,economic,low,low,auto,targeted,medium,crime,data
503,economic,low,low,auto,targeted,medium,crime,availability
504,economic,low,low,auto,targeted,medium,insider,ICS
505,economic,low,low,auto,targeted,medium,insider,credentials
506,economic,low,low,auto,targeted,medium,insider,data
507,economic,low,low,auto,targeted,medium,insider,availability
508,economic,low,low,auto,targeted,medium,state,ICS
509,economic,low,low,auto,targeted,medium,state,credentials
510,economic,low,low,auto,targeted,medium,state,data
511,economic,low,low,auto,targeted,medium,state,availability
512,economic,low,low,auto,targeted,high,individual,ICS
513,economic,low,low,auto,targeted,high,individual,credentials
514,economic,low,low,auto,targeted,high,individual,data
515,economic,low,low,auto,targeted,high,individual,availability
516,economic,low,low,auto,targeted,high,crime,ICS
517,economic,low,low,auto,targeted,high,crime,credentials
518,economic,low,low,auto,targeted,high,crime,data
519,economic,low,low,auto,targeted,high,crime,availability
520,economic,low,low,auto,targeted,high,insider,ICS
521,economic,low,low,auto,targeted,high,insider,credentials
522,economic,low,low,auto,targeted,high,insider,data
523,economic,low,low,auto,targeted,high,insider,availability
524,economic,low,low,auto,targeted,high,state,ICS
525,economic,low,low,auto,targeted,high,state,credentials
526,economic,low,low,auto,targeted,high,state,data
527,economic,low,low,auto,targeted,high,state,availability
528,economic,low,low,auto,destructive,low,individual,ICS
529,economic,low,low,auto,destructive,low,individual,credentials
530,economic,low,low,auto,destructive,low,individual,data
531,economic,low,low,auto,destructive,low,individual,availability
532,economic,low,low,auto,destructive,low,crime,ICS
533,economic,low,low,auto,destructive,low,crime,credentials
534,economic,low,low,auto,destructive,low,crime,data
535,economic,low,low,auto,destructive,low,crime,availability
536,economic,low,low,auto,destructive,low,insider,ICS
537,economic,low,low,auto,destructive,low,insider,credentials
538,economic,low,low,auto,destructive,low,insider,data
539,economic,low,low,auto,destructive,low,insider,availability
540,economic,low,low,auto,destructive,low,state,ICS
541,economic,low,low,auto,destructive,low,state,credentials
542,economic,low,low,auto,destructive,low,state,data
543,economic,low,low,auto,destructive,low,state,availability
544,economic,low,low,auto,destructive,medium,individual,ICS
